일시,지점,일최저체감온도(°C),일최고기온(°C),일평균기온(°C),일최저기온(°C),일평균상대습도(%),일평균풍속(m/s),일최대풍속(m/s),한파특보(O/X),한파영향예보(단계),동파가능지수(03h)(단계),동파가능지수(06h)(단계),동파가능지수(09h)(단계),동파가능지수(12h)(단계),동파가능지수(15h)(단계),동파가능지수(18h)(단계),동파가능지수(21h)(단계),동파가능지수(24h)(단계)
2021-12-01,부산(159),-5.3,7.3,3.9,0.2,40.6,4.7,11.2,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,통영(162),-3.3,7.8,4.5,0.6,46.5,4.3,7,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,목포(165),-3,6.4,4.5,1.8,63.6,8.7,12.8,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,여수(168),-4.6,5.8,3.7,1.3,56,7.6,14.4,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,흑산도(169),-1.7,7.6,6.1,4.3,66,14.1,19.4,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,완도(170),-0.2,7.9,5.5,3.6,60.1,4.2,8.5,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,고창(172),-6.4,4.8,1.8,0,77.3,5.9,11.3,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,제주(184),2.6,9.4,8,7,63.8,7.7,11.7,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,진주(192),-3.9,6.8,3.5,-3,49.4,2.7,5.8,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,양평(202),-7.3,2,-0.1,-2.5,46.8,3.9,7.1,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,이천(203),-7.1,2.2,-0.6,-3.9,49.6,2.9,5.6,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,인제(211),-9,0.9,-1.7,-4.4,48.5,2.8,5.1,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,홍천(212),-8.1,0.8,-1.5,-4.9,47.9,2.6,5.7,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,태백(216),-13.2,-2.4,-5.3,-7.4,48.1,2,3.9,X,관심,보통,보통,보통,낮음,낮음,보통,보통,보통
2021-12-01,정선군(217),-10.4,1.1,-2.2,-4.4,42.5,5,8.9,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,제천(221),-9,0.7,-2.2,-6.7,51.8,3,6.3,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,보은(226),-6.7,2.5,-0.3,-4.1,56.4,3.1,5.5,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,천안(232),-5.7,2.8,0.3,-2.9,51.3,3,5.7,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,보령(235),-3.2,4.4,2,-1.8,57.9,3.1,5.2,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,부여(236),-3.6,4.4,1.3,-3.7,63.8,2.7,5.5,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,금산(238),-4.7,2.9,0.6,-2.9,58.8,3.1,5.7,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,세종(239),-5.4,3.3,0.4,-3.4,52,3.3,7.5,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,부안(243),-2.5,5.4,1.7,-1.5,83.1,2,6.3,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,임실(244),-5,3,0.1,-3.2,71.1,1.9,5.3,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,정읍(245),-5,4.2,0.8,-1.9,78.5,2.8,6.5,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,남원(247),-5.2,2.9,0.2,-3.6,74.8,1.4,3.5,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,장수(248),-7.4,1.1,-1,-5,64.8,3.5,6.9,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,영광군(252),-2.8,5.8,3,0.3,68.9,4.2,7.5,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,김해시(253),-4.5,6.7,3.2,-0.9,42,4.3,8.7,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,순창군(254),-6.7,3.1,0.6,-3.2,81.6,2.5,6.1,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,양산시(257),-3.6,7,4.1,-0.5,40.4,3.2,6.5,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,강진군(259),-2.9,7.1,4.6,2.2,61.6,3.4,6.6,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,장흥(260),-2.6,7,4,1.2,61.5,5.4,9.9,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,해남(261),-2.4,6.5,3.7,1,60.5,3.1,6.6,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,고흥(262),-2.6,6.7,3.5,-1.3,62.4,3.6,7,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,의령군(263),-7.9,6.8,2.7,-4,49.8,4.5,9.8,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,함양군(264),-5.3,4.7,2.1,-0.9,35.9,4.3,6.8,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,진도군ASOS(268),-0.6,7.3,5.5,3.1,59.5,6.5,10.1,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,봉화(271),-7.8,2.2,-1,-5.1,50,2.6,5.5,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,영주(272),-10.1,1.3,-0.9,-2.7,46.1,7.5,11.3,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,문경(273),-8.2,1.9,-0.3,-2.8,42.9,4.6,8.6,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,청송군(276),-9.9,2.4,-0.7,-4.8,42.5,5.4,9.7,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,영덕(277),-7.8,4.3,1.4,-1,37.4,5.8,11.1,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,의성(278),-6.7,4.2,0.7,-5.2,46.3,3.9,8.1,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,구미(279),-3.4,4.9,2.2,-0.8,41.3,2.8,5.6,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,영천(281),-6,5.5,1.8,-1.5,43.6,5.1,8.8,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,경주시(283),-6.7,5.2,2.4,-0.9,37.4,6,10.7,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,거창(284),-7.8,3.9,0.8,-4.4,51.9,3.5,6.5,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,합천(285),-4.1,5.7,3.2,-1.9,40.8,2.2,5.1,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,밀양(288),-2.9,7.1,3.6,-1.4,38.8,3,6.6,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,산청(289),-5.8,4.4,2,-0.2,50.1,6.9,10.5,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,거제(294),-1.9,7.3,4.6,1.4,45.5,2.8,6,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,남해(295),-3.2,5.8,3.7,-1.1,57,3.9,7.1,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,부천(433),-6.5,2.1,-0.6,-2.1,44,1.4,3,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,안양(434),-8.8,2,-0.1,-1.4,,5.3,9.2,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,광명(437),-7,1.7,-0.3,-1.6,44,3.4,5.6,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,군포(438),-7.4,1.9,-0.7,-2.1,43,2.3,5.3,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,김포(441),,1.9,-0.6,-3.7,,3.4,6.7,주의보,주의,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,하남(444),-6,1.3,-1.1,-2.5,44,1.4,2.8,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,의왕(445),-8.6,0.4,-1.7,-3.8,44,2.7,4.6,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,포천(504),-10.9,0.7,-2.1,-5.3,50,3.6,6.7,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,가평조종(505),-9.4,0.2,-2.5,-5.7,52,2.4,4.7,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,안성(516),-7.3,2.8,-0.5,-3.5,50,4.1,7.5,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,간성(517),-7.4,3.3,0.5,-1.3,39,3.1,6.2,주의보,주의,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,평창(526),-9.4,1.3,-2.4,-6.8,43,2.2,5.1,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,보통
2021-12-01,의정부(532),-9.4,1.2,-1.8,-4.7,56,2.9,4.9,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,횡성(536),-7.7,2.5,-1.3,-6,57,2.7,4.9,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,고양(540),-9.1,2.2,-1.3,-5.2,52,3.5,6.5,주의보,주의,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,남양주(541),-9.3,2.2,-1.3,-4.1,48,3.3,5.7,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,안산(545),-7,2.7,-0.4,-5.2,49,2.7,5.8,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,경기광주(546),-7.8,1.8,-1.6,-4.2,47,1.8,4.2,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,여주(548),-8.8,1.1,-1.3,-3.6,48,3.3,6.6,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,용인(549),-6.6,2.3,-0.2,-1.9,42,3.4,5.7,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,오산(550),-7.2,2.5,-0.4,-3.4,42,3.5,5.4,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,평택(551),-6.8,2.7,0.3,-2.1,46,4.8,7.8,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,화천(555),-8.8,2.2,-2.3,-6.5,59,2.5,5.9,주의보,주의,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,양구(556),-10.1,0.7,-2.4,-6.1,47,2.6,5.1,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,시흥(565),-8,2,-0.8,-4.9,54,4.7,8.2,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,구리(569),-8.5,1.9,-1,-3.4,43,3.4,6,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,화성(571),-5.7,2.1,-0.1,-2.5,49,2.3,4.3,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,성남(572),-7.3,1.6,-0.7,-3,43,3.1,5.9,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,과천(590),-7.4,2.3,-0.1,-2.7,48,3.2,5.8,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,양주(598),-8.9,1.3,-2.2,-6.6,51,3.4,7,주의보,주의,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,단양(601),-6.9,1.7,-0.9,-3.8,48,2.5,4.9,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,진천(602),-6.7,2.5,-0.2,-4.5,49,4,7.8,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,괴산(603),-7.7,1.7,-1.1,-5.9,50,3.5,6,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,옥천(604),-6.1,3.2,0.3,-4.3,57,2.9,5.7,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,홍북(608),-5.5,4.4,0.4,-3,62,2.8,5.3,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,공주(612),-6.1,3.6,0.4,-4.5,59,2.2,5.1,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,서천(614),-4.3,4.9,1.6,-3,59,1.9,5.4,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,논산(615),-4.9,4.2,1,-3.9,64,3,6.1,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,당진(616),-5.7,3.2,0.7,-2.3,57,4.7,7.3,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,청양(618),-5.6,2.9,-0.1,-5.2,64,1.3,3.3,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,음성(619),-9.6,1.2,-1.6,-4.7,52,5,8.9,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,증평(623),-6.6,2.6,0.2,-2.7,49,4.1,7.5,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,태안(627),-3.6,3.4,1.4,-0.6,62,3.3,6.8,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,예산(628),-4.1,3.3,1,-2.5,57,2.5,5.5,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,아산(634),-6.2,3.1,0.9,-1.8,53,5.9,8.9,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,계룡(636),-9.1,2.9,-0.4,-6.3,61,2.5,5.6,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,연천청산(652),-9,1.6,-1.7,-5.1,52,1.8,4.5,주의보,주의,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,양양(670),-7.6,3.2,0.5,-1.1,46,4,6.1,주의보,주의,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,무안(699),-4.3,5.7,2.9,0,68,5.8,12.3,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,무주(701),-6.3,2.8,0.1,-4.2,57,4,7.2,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,익산(702),-4.5,5.1,1.6,-3.1,70,2.6,5.3,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,진안(703),-8.6,1.3,-0.9,-4.3,67,2.9,4.9,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,담양(706),-4.4,5.2,1.5,-2.3,86,2.5,6.3,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,구례(709),-4.8,5.2,2.6,0.7,68,6.3,8.9,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,나주(710),-2.8,6.4,3.3,0.8,78,4.1,8.6,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,순천시(712),-3.1,6.5,3.7,1,57,4.1,7.4,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,광양읍(713),-2.1,6.5,3.6,0.8,59,2.3,3.8,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,장성(730),-3.7,5.2,2.2,0.4,81,2.7,5.1,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,영암(731),-2.3,6.8,4.2,1.6,68,3.7,8.4,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,보성(732),-4.6,,1.5,,74,,,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,완주(734),-6.7,5,1.8,-3.8,66,2.6,5.4,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,김제(737),-5.3,4.1,1.1,-1,74,3.8,7.7,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,화순(741),-4.1,4.9,2.2,-0.8,74,4.4,10.2,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,함평(754),-2.7,7.1,4,1.1,70,5.9,10.1,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,곡성(768),-5.3,3.7,1.3,-2.9,75,3.3,7.6,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,압해도(789),-2.4,7.9,5.5,2.4,62,8,11.6,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,영양(801),-7.5,2.9,-0.1,-4.2,39,3.9,7.3,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,성주(810),-5.7,5.4,2.4,-3.4,41,3.8,7.9,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,고령(812),-7.1,5.8,1.5,-5.3,49,1.9,5.6,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,청도(813),-6.4,5.3,1.8,-3.7,45,4.6,8.5,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,예천(815),-6.5,3.1,0.4,-4.4,39,3.4,6.6,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,김천(822),-7,3.6,0.8,-2.1,49,3.4,6.7,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,군위(823),-7,4.3,1.1,-3.4,44,4,7.5,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,칠곡(825),-5.1,5.6,2.7,-1.9,44,4.5,9.1,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,경산(827),-4.1,5.1,2.7,-0.4,37,4.2,7.1,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,삼척(876),-6.2,5.7,2.2,-0.7,30,3.5,9.3,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,속초(90),-7.3,2.4,0.1,-1.7,35.9,3.5,7,주의보,주의,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,삼천포(907),-2.1,7,4.5,1.4,44,5.1,8.5,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,고성(918),-3.6,6.7,3.5,-1.2,49,3.2,7.1,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,창녕(919),-6.5,6.2,2.9,-3.2,50,3.4,6.8,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,함안(920),-7,5.5,2.5,-3.5,55,4.3,8.1,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,북춘천(93),-8.7,0.5,-2.2,-6.2,53.9,2.6,6.3,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,하동(932),-3.4,6.6,3.8,-1.3,56,4.5,8,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,철원(95),-10.2,-0.2,-2.5,-4.2,54.5,2.6,5.8,주의보,주의,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,동두천(98),-10.7,1.6,-2.4,-5.4,55.4,3.3,7.3,주의보,주의,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,파주(99),-8.8,1.3,-2.2,-5.7,57.5,3.1,5.8,주의보,주의,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-02,북강릉(104),-6.3,8.4,3.2,-4.1,41.1,2.2,6,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-02,동해(106),-4.3,8.8,5.1,-0.9,33.6,2.8,6.4,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-02,서울(108),-9.2,5,1.3,-4.6,68.9,2.1,4.6,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-02,인천(112),-7.5,7.9,3.4,-3.2,47.4,3.8,8.2,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-02,원주(114),-9.4,5.5,0.7,-6.3,60.8,1,2.8,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-02,울릉도(115),-3.9,8.8,4.6,1.5,58.9,3.5,6.8,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-02,수원(119),-7.8,6.1,1.4,-4.9,70.9,1.9,4.5,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-02,영월(121),-10.3,4.6,-0.8,-8.2,61.6,0.9,3.7,X, ,낮음,보통,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-02,충주(127),-10.4,5.9,-0.2,-8.2,64.1,1.2,3.7,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-02,서산(129),-4.4,8.8,3.2,-3,69.4,2.1,5.2,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-02,울진(130),-8.4,9.5,3.4,-2.1,34.9,3.4,5.4,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-02,청주(131),-7.1,6.9,2.1,-4,58.5,1.3,3,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-02,대전(133),-6,8.4,2.6,-4.2,69.5,1.2,3.2,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-02,추풍령(135),-10.6,5,0.8,-4.4,57.5,3.7,6.2,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
